Файл	PSNR(размытое)	SSIM(размытое)	PSNR(восст.)	SSIM(восст.)
5.1.12_frt1_noise0.01.pt	16.81	0.7667	21.54	0.9269
4.1.08_frt1_noise0.01.pt	16.74	0.5422	23.59	0.9204
house_frt1_noise0.1.pt	13.64	0.3752	11.04	0.4196
5.1.12_frt4_noise0.05.pt	14.56	0.6175	15.99	0.7730
4.1.08_frt3_noise0.05.pt	15.87	0.4290	17.64	0.7240
5.1.12_frt4_noise0.01.pt	14.85	0.6331	21.41	0.9242
ruler.512_frt4_noise0.01.pt	10.11	0.0310	10.57	0.2303
ruler.512_frt2_noise0.01.pt	10.00	0.0028	10.59	0.2285
house_frt1_noise0.01.pt	14.73	0.4365	21.62	0.8932
ruler.512_frt3_noise0.01.pt	10.05	0.0095	10.21	0.0768
5.1.12_frt2_noise0.05.pt	15.38	0.6807	16.33	0.7840
4.1.08_frt3_noise0.1.pt	14.77	0.3675	15.99	0.6385
5.1.12_frt4_noise0.1.pt	13.83	0.5745	14.14	0.6853
4.1.08_frt2_noise0.1.pt	14.53	0.3630	12.79	0.4766
5.1.12_frt1_noise0.05.pt	16.34	0.7464	18.87	0.8681
5.1.12_frt3_noise0.05.pt	15.03	0.6435	17.44	0.8209
house_frt4_noise0.05.pt	13.37	0.2534	12.76	0.5198
5.1.12_frt3_noise0.1.pt	14.19	0.5949	15.52	0.7399
ruler.512_frt3_noise0.05.pt	9.95	0.0087	9.98	0.1277
house_frt2_noise0.05.pt	13.40	0.2533	17.42	0.7563
house_frt2_noise0.1.pt	12.76	0.2268	10.42	0.3801
house_frt1_noise0.05.pt	14.44	0.4207	15.93	0.6901
5.1.12_frt2_noise0.01.pt	15.76	0.6998	21.21	0.9205
ruler.512_frt4_noise0.1.pt	9.80	0.0282	8.03	0.1339
ruler.512_frt4_noise0.05.pt	10.02	0.0299	10.24	0.2151
4.1.08_frt2_noise0.05.pt	15.59	0.4207	15.25	0.6158
house_frt4_noise0.01.pt	13.60	0.2626	21.50	0.8892
house_frt3_noise0.01.pt	14.44	0.3639	20.46	0.8558
4.1.08_frt1_noise0.1.pt	15.13	0.4514	13.11	0.5016
4.1.08_frt4_noise0.01.pt	15.60	0.4031	23.23	0.9123
4.1.08_frt4_noise0.1.pt	14.25	0.3295	12.80	0.4800
house_frt4_noise0.1.pt	12.74	0.2256	11.18	0.4264
ruler.512_frt1_noise0.05.pt	10.01	0.0284	10.31	0.2208
house_frt3_noise0.05.pt	14.16	0.3487	18.71	0.7976
5.1.12_frt2_noise0.1.pt	14.50	0.6317	14.98	0.7231
ruler.512_frt3_noise0.1.pt	9.73	0.0073	9.54	0.0871
4.1.08_frt2_noise0.01.pt	15.96	0.4407	23.01	0.9078
4.1.08_frt3_noise0.01.pt	16.28	0.4503	21.53	0.8679
ruler.512_frt1_noise0.01.pt	10.11	0.0303	10.61	0.2428
ruler.512_frt2_noise0.05.pt	9.91	0.0018	10.24	0.2131
4.1.08_frt4_noise0.05.pt	15.23	0.3823	15.32	0.6208
ruler.512_frt2_noise0.1.pt	9.70	0.0022	8.12	0.1361
5.1.12_frt1_noise0.1.pt	15.28	0.6951	14.39	0.6993
5.1.12_frt3_noise0.01.pt	15.37	0.6614	20.06	0.8928
4.1.08_frt1_noise0.05.pt	16.27	0.5153	15.62	0.6414
house_frt2_noise0.01.pt	13.64	0.2639	21.38	0.8856
ruler.512_frt1_noise0.1.pt	9.79	0.0246	8.05	0.1378
house_frt3_noise0.1.pt	13.41	0.3107	10.64	0.3852
