Файл	Шум	PSNR(размытое)	SSIM(размытое)	PSNR(восст.)	SSIM(восст.)
4.1.08_frt3_noise0.05.pt	0.050	15.87	0.4290	21.78	0.8661
5.1.12_frt1_noise0.01.pt	0.010	16.81	0.7667	22.85	0.9458
house_frt1_noise0.1.pt	0.100	13.64	0.3752	21.47	0.8912
5.1.12_frt4_noise0.05.pt	0.050	14.56	0.6175	21.91	0.9317
4.1.08_frt1_noise0.01.pt	0.010	16.74	0.5422	26.48	0.9590
ruler.512_frt4_noise0.01.pt	0.010	10.11	0.0310	10.54	0.1768
5.1.12_frt2_noise0.05.pt	0.050	15.38	0.6807	21.35	0.9219
5.1.12_frt4_noise0.01.pt	0.010	14.85	0.6331	22.85	0.9458
house_frt4_noise0.05.pt	0.050	13.37	0.2534	22.10	0.9051
ruler.512_frt2_noise0.01.pt	0.010	10.00	0.0028	10.60	0.1797
house_frt1_noise0.01.pt	0.010	14.73	0.4365	22.98	0.9239
ruler.512_frt3_noise0.01.pt	0.010	10.05	0.0095	10.21	0.0560
4.1.08_frt3_noise0.1.pt	0.100	14.77	0.3675	21.35	0.8546
4.1.08_frt2_noise0.1.pt	0.100	14.53	0.3630	22.97	0.9050
5.1.12_frt4_noise0.1.pt	0.100	13.83	0.5745	21.23	0.9207
5.1.12_frt3_noise0.05.pt	0.050	15.03	0.6435	20.61	0.9059
ruler.512_frt4_noise0.1.pt	0.100	9.80	0.0282	10.40	0.1190
5.1.12_frt1_noise0.05.pt	0.050	16.34	0.7464	21.74	0.9289
ruler.512_frt3_noise0.05.pt	0.050	9.95	0.0087	10.19	0.0514
5.1.12_frt3_noise0.1.pt	0.100	14.19	0.5949	20.29	0.8994
house_frt2_noise0.05.pt	0.050	13.40	0.2533	21.78	0.8971
house_frt2_noise0.1.pt	0.100	12.76	0.2268	21.21	0.8835
4.1.08_frt2_noise0.05.pt	0.050	15.59	0.4207	24.04	0.9247
house_frt1_noise0.05.pt	0.050	14.44	0.4207	22.09	0.9049
5.1.12_frt2_noise0.01.pt	0.010	15.76	0.6998	22.26	0.9375
ruler.512_frt4_noise0.05.pt	0.050	10.02	0.0299	10.49	0.1415
house_frt3_noise0.01.pt	0.010	14.44	0.3639	21.48	0.8886
4.1.08_frt1_noise0.1.pt	0.100	15.13	0.4514	23.40	0.9140
house_frt4_noise0.01.pt	0.010	13.60	0.2626	22.97	0.9237
ruler.512_frt2_noise0.1.pt	0.100	9.70	0.0022	10.30	0.0845
house_frt4_noise0.1.pt	0.100	12.74	0.2256	21.43	0.8901
4.1.08_frt4_noise0.1.pt	0.100	14.25	0.3295	22.97	0.9058
4.1.08_frt4_noise0.01.pt	0.010	15.60	0.4031	25.97	0.9535
ruler.512_frt1_noise0.05.pt	0.050	10.01	0.0284	10.59	0.1669
house_frt3_noise0.05.pt	0.050	14.16	0.3487	20.93	0.8720
ruler.512_frt3_noise0.1.pt	0.100	9.73	0.0073	10.16	0.0503
5.1.12_frt2_noise0.1.pt	0.100	14.50	0.6317	20.89	0.9137
4.1.08_frt3_noise0.01.pt	0.010	16.28	0.4503	23.10	0.9044
4.1.08_frt2_noise0.01.pt	0.010	15.96	0.4407	25.76	0.9511
ruler.512_frt1_noise0.01.pt	0.010	10.11	0.0303	10.67	0.2228
4.1.08_frt4_noise0.05.pt	0.050	15.23	0.3823	24.13	0.9272
ruler.512_frt1_noise0.1.pt	0.100	9.79	0.0246	10.46	0.1310
ruler.512_frt2_noise0.05.pt	0.050	9.91	0.0018	10.33	0.0872
4.1.08_frt1_noise0.05.pt	0.050	16.27	0.5153	24.63	0.9353
5.1.12_frt1_noise0.1.pt	0.100	15.28	0.6951	21.25	0.9211
house_frt3_noise0.1.pt	0.100	13.41	0.3107	20.54	0.8612
5.1.12_frt3_noise0.01.pt	0.010	15.37	0.6614	21.14	0.9176
house_frt2_noise0.01.pt	0.010	13.64	0.2639	22.58	0.9158
