Файл	Шум	PSNR(размытое)	SSIM(размытое)	PSNR(восст.)	SSIM(восст.)
4.1.08_frt3_noise0.05.pt	0.05	15.87	0.4290	22.10	0.8834
5.1.12_frt1_noise0.01.pt	0.01	16.81	0.7667	23.11	0.9499
house_frt1_noise0.1.pt	0.1	13.64	0.3752	13.78	0.5862
5.1.12_frt4_noise0.05.pt	0.05	14.56	0.6175	18.27	0.8590
4.1.08_frt1_noise0.01.pt	0.01	16.74	0.5422	26.16	0.9561
ruler.512_frt4_noise0.01.pt	0.01	10.11	0.0310	10.74	0.2306
5.1.12_frt2_noise0.05.pt	0.05	15.38	0.6807	18.71	0.8693
5.1.12_frt4_noise0.01.pt	0.01	14.85	0.6331	22.98	0.9483
house_frt4_noise0.05.pt	0.05	13.37	0.2534	22.04	0.9061
ruler.512_frt2_noise0.01.pt	0.01	10.00	0.0028	10.73	0.2266
house_frt1_noise0.01.pt	0.01	14.73	0.4365	22.73	0.9193
ruler.512_frt3_noise0.01.pt	0.01	10.05	0.0095	10.41	0.1189
4.1.08_frt3_noise0.1.pt	0.1	14.77	0.3675	21.31	0.8603
4.1.08_frt2_noise0.1.pt	0.1	14.53	0.3630	14.60	0.5981
5.1.12_frt4_noise0.1.pt	0.1	13.83	0.5745	14.41	0.7049
5.1.12_frt3_noise0.05.pt	0.05	15.03	0.6435	19.52	0.8861
ruler.512_frt4_noise0.1.pt	0.1	9.80	0.0282	9.61	0.1461
5.1.12_frt1_noise0.05.pt	0.05	16.34	0.7464	18.07	0.8527
ruler.512_frt3_noise0.05.pt	0.05	9.95	0.0087	10.23	0.1104
5.1.12_frt3_noise0.1.pt	0.1	14.19	0.5949	16.19	0.7774
house_frt2_noise0.05.pt	0.05	13.40	0.2533	21.81	0.8996
house_frt2_noise0.1.pt	0.1	12.76	0.2268	14.32	0.6117
4.1.08_frt2_noise0.05.pt	0.05	15.59	0.4207	23.89	0.9263
house_frt1_noise0.05.pt	0.05	14.44	0.4207	22.09	0.9069
5.1.12_frt2_noise0.01.pt	0.01	15.76	0.6998	22.66	0.9439
ruler.512_frt4_noise0.05.pt	0.05	10.02	0.0299	10.34	0.1979
house_frt3_noise0.01.pt	0.01	14.44	0.3639	21.34	0.8852
4.1.08_frt1_noise0.1.pt	0.1	15.13	0.4514	14.06	0.5683
house_frt4_noise0.01.pt	0.01	13.60	0.2626	22.81	0.9210
ruler.512_frt2_noise0.1.pt	0.1	9.70	0.0022	9.78	0.1505
house_frt4_noise0.1.pt	0.1	12.74	0.2256	13.59	0.5727
4.1.08_frt4_noise0.1.pt	0.1	14.25	0.3295	14.00	0.5605
4.1.08_frt4_noise0.01.pt	0.01	15.60	0.4031	25.43	0.9477
ruler.512_frt1_noise0.05.pt	0.05	10.01	0.0284	10.35	0.1989
house_frt3_noise0.05.pt	0.05	14.16	0.3487	20.98	0.8756
ruler.512_frt3_noise0.1.pt	0.1	9.73	0.0073	9.85	0.0848
5.1.12_frt2_noise0.1.pt	0.1	14.50	0.6317	15.11	0.7376
4.1.08_frt3_noise0.01.pt	0.01	16.28	0.4503	22.84	0.8996
4.1.08_frt2_noise0.01.pt	0.01	15.96	0.4407	25.44	0.9477
ruler.512_frt1_noise0.01.pt	0.01	10.11	0.0303	10.74	0.2311
4.1.08_frt4_noise0.05.pt	0.05	15.23	0.3823	23.43	0.9189
ruler.512_frt1_noise0.1.pt	0.1	9.79	0.0246	9.63	0.1475
ruler.512_frt2_noise0.05.pt	0.05	9.91	0.0018	10.40	0.1979
4.1.08_frt1_noise0.05.pt	0.05	16.27	0.5153	24.22	0.9325
5.1.12_frt1_noise0.1.pt	0.1	15.28	0.6951	14.79	0.7269
house_frt3_noise0.1.pt	0.1	13.41	0.3107	15.93	0.6914
5.1.12_frt3_noise0.01.pt	0.01	15.37	0.6614	21.38	0.9229
house_frt2_noise0.01.pt	0.01	13.64	0.2639	22.42	0.9128
