Файл	Шум	PSNR(размытое)	SSIM(размытое)	PSNR(восст.)	SSIM(восст.)	delta_ssim	delta_psnr
4.1.08_frt3_noise0.05.pt	0.05	15.87	0.4290	22.10	0.88	0.45	6.23
4.1.08_frt1_noise0.01.pt	0.01	16.74	0.5422	26.16	0.96	0.41	9.42
4.1.08_frt3_noise0.1.pt	0.1	14.77	0.3675	21.31	0.86	0.49	6.54
4.1.08_frt2_noise0.1.pt	0.1	14.53	0.3630	14.60	0.60	0.24	0.07
4.1.08_frt2_noise0.05.pt	0.05	15.59	0.4207	23.89	0.93	0.51	8.30
4.1.08_frt1_noise0.1.pt	0.1	15.13	0.4514	14.06	0.57	0.12	-1.07
4.1.08_frt4_noise0.1.pt	0.1	14.25	0.3295	14.00	0.56	0.23	-0.25
4.1.08_frt4_noise0.01.pt	0.01	15.60	0.4031	25.43	0.95	0.54	9.83
4.1.08_frt3_noise0.01.pt	0.01	16.28	0.4503	22.84	0.90	0.45	6.56
4.1.08_frt2_noise0.01.pt	0.01	15.96	0.4407	25.44	0.95	0.51	9.47
4.1.08_frt4_noise0.05.pt	0.05	15.23	0.3823	23.43	0.92	0.54	8.20
4.1.08_frt1_noise0.05.pt	0.05	16.27	0.5153	24.22	0.93	0.42	7.95
