Файл	Шум	PSNR(размытое)	SSIM(размытое)	PSNR(восст.)	SSIM(восст.)	delta_ssim	delta_psnr
4.1.08_frt3_noise0.05.pt	0.05	15.87	0.4290	17.11	0.70	0.27	1.25
4.1.08_frt1_noise0.01.pt	0.01	16.74	0.5422	14.50	0.59	0.05	-2.24
4.1.08_frt3_noise0.1.pt	0.1	14.77	0.3675	11.76	0.41	0.04	-3.01
4.1.08_frt2_noise0.1.pt	0.1	14.53	0.3630	9.44	0.30	-0.07	-5.09
4.1.08_frt2_noise0.05.pt	0.05	15.59	0.4207	10.42	0.34	-0.08	-5.17
4.1.08_frt1_noise0.1.pt	0.1	15.13	0.4514	9.56	0.31	-0.14	-5.57
4.1.08_frt4_noise0.1.pt	0.1	14.25	0.3295	10.94	0.38	0.05	-3.31
4.1.08_frt4_noise0.01.pt	0.01	15.60	0.4031	14.54	0.58	0.18	-1.06
4.1.08_frt3_noise0.01.pt	0.01	16.28	0.4503	20.97	0.85	0.40	4.70
4.1.08_frt2_noise0.01.pt	0.01	15.96	0.4407	16.42	0.68	0.24	0.46
4.1.08_frt4_noise0.05.pt	0.05	15.23	0.3823	10.06	0.33	-0.05	-5.17
4.1.08_frt1_noise0.05.pt	0.05	16.27	0.5153	9.69	0.31	-0.20	-6.59
